Atom type,Coordinate-X,Coordinate-Y,Coordinate-Z,Mulliken charges,NPA charges,NMR Shielding
1,1.3229,-2.23828,0.00016,0.145730,0.21266,24.2305000000
1,1.83196,2.03199,-0.00007,0.152244,0.22028,24.1253000000
1,-3.1578,-1.238,-0.89356,0.149701,0.17135,28.4071500000
1,-4.27083,-0.17328,0.00007,0.154984,0.19707,27.9863000000
1,-3.1578,-1.23803,0.89365,0.149704,0.17135,28.4071500000
1,3.60992,-1.60155,-0.002,0.142647,0.12461,28.0545000000
16,2.22964,-0.00291,0.90489,-0.216383,-0.06723,534.8639000000
6,1.07249,-0.00255,-0.54873,-0.127022,-0.29406,140.3421000000
6,0.20632,-1.27085,-0.64023,-0.265704,-0.41385,148.8864000000
6,0.21058,1.26845,-0.64301,-0.265701,-0.41385,148.8864000000
6,-0.9682,-1.26885,0.348,-0.335113,-0.40120,164.7365500000
6,-0.96394,1.27255,0.34522,-0.335111,-0.40120,164.7365500000
6,-1.81733,0.00313,0.2137,-0.255300,-0.39837,157.4166000000
1,1.78816,-0.00466,-1.3758,0.156180,0.22472,29.0798000000
1,0.82865,-2.15849,-0.50297,0.159517,0.21964,30.0722000000
1,-0.19535,-1.32159,-1.66189,0.149247,0.19993,30.2348500000
1,-0.19091,1.31829,-1.66478,0.149246,0.19992,30.2348500000
1,0.83588,2.1543,-0.50769,0.159517,0.21964,30.0722000000
1,-0.5918,-1.3552,1.37463,0.153823,0.19435,30.5257000000
1,-1.58668,-2.15689,0.18219,0.146585,0.21170,30.5257000000
1,-1.57946,2.16229,0.17746,0.146585,0.21170,30.5257000000
1,-0.58725,1.35988,1.37165,0.153822,0.19435,30.5257000000
1,-2.31278,0.00289,-0.76637,0.143294,0.19223,30.8302000000
1,-2.6174,0.00529,0.9614,0.143491,0.20846,30.3169000000
1,1.30398,-0.00029,1.88884,0.139029,0.11310,29.3370000000
16,1.45066,-0.27497,0.00001,-0.217404,-0.06701,575.2616000000
6,-0.15473,0.6402,0.00001,-0.234216,-0.49099,160.6302000000
6,-1.30647,-0.35858,0.00002,-0.419501,-0.61589,171.2427000000
1,-0.19833,1.27569,0.88586,0.144667,0.20750,29.3012000000
1,-0.19834,1.27567,-0.88586,0.144667,0.20750,29.3012000000
1,-1.27871,-0.99983,-0.88438,0.149346,0.21104,30.8455000000
1,-1.27871,-0.99981,0.88444,0.149346,0.21104,30.8455000000
1,-2.26333,0.1706,0.00002,0.140453,0.21454,30.6507000000
1,2.25576,0.81162,0.,0.142644,0.12227,29.8392000000
16,-2.72757,-0.04599,-0.00037,-0.151344,0.03458,462.4705000000
6,-0.93952,0.02182,-0.00042,0.070825,-0.15435,22.2416000000
6,-0.2249,1.22345,-0.00029,-0.188383,-0.23525,38.3392000000
6,-0.24457,-1.19159,-0.00022,-0.155287,-0.23401,39.3599000000
6,1.16719,1.20595,-0.00004,-0.148514,-0.19455,35.1157000000
6,1.14685,-1.19858,0.00021,-0.143734,-0.19292,35.2972000000
6,1.86084,-0.00203,0.00026,-0.158996,-0.22935,40.0221000000
1,-0.74935,2.17371,-0.00031,0.145633,0.21271,24.0681500000
1,-0.78983,-2.13011,-0.0005,0.151231,0.21912,23.9670500000
1,1.70959,2.14619,-0.00002,0.144259,0.21585,23.9670500000
1,1.67319,-2.1478,0.0004,0.144895,0.21611,23.8966000000
1,2.94546,-0.0108,0.00051,0.144904,0.21625,24.0681500000
1,-2.93599,1.28796,-0.00461,0.144513,0.12581,27.9457000000
15,-0.1363,1.94229,0.07682,0.913013,2.59013,286.6428000000
9,5.9906,3.45439,-2.53737,-0.179524,-0.32113,259.6418000000
9,5.86911,5.23015,-1.28825,-0.176493,-0.31954,236.4774000000
9,7.42973,3.76731,-0.93996,-0.179108,-0.32351,228.6070000000
9,-7.41692,3.5076,1.47673,-0.176667,-0.31920,259.6418000000
9,-6.01414,2.72362,2.94187,-0.179820,-0.32255,238.1460000000
9,-7.50069,1.41586,2.05951,-0.178221,-0.32271,228.4403000000
9,3.02764,3.97859,3.57543,-0.176314,-0.32169,226.1592000000
9,5.16859,4.33592,3.65973,-0.178264,-0.32071,259.0843000000
9,4.3613,2.39418,4.21534,-0.181543,-0.32312,237.4345000000
9,-4.07595,4.13797,-2.85788,-0.170970,-0.31862,222.3335000000
9,-4.44613,2.2572,-3.87525,-0.178700,-0.32023,249.7859000000
9,-6.11451,3.47454,-3.19123,-0.179952,-0.32223,250.5204000000
8,0.90293,0.95591,0.83055,-0.374844,-0.78686,168.6275000000
8,-1.06399,0.89633,-0.74463,-0.374317,-0.78971,166.3913000000
8,-0.99199,2.39706,1.35022,-0.480303,-0.99516,223.8362000000
8,0.38199,3.01216,-0.78072,-0.508097,-1.07595,174.8744000000
6,1.47344,-2.06393,-1.19544,-0.013995,0.02931,18.0054000000
6,-1.01946,-2.44972,0.79561,-0.018157,0.03084,17.3723000000
6,0.83608,-1.13855,-0.34797,-0.046954,-0.07783,34.9160000000
6,-0.57841,-1.30475,0.1054,-0.037258,-0.07732,34.9160000000
6,0.78172,-3.23403,-1.85543,-0.400882,-0.43447,155.6762500000
6,-0.11253,-3.56007,1.27331,-0.401646,-0.43488,155.6762500000
6,2.82537,-1.88105,-1.53576,0.107188,-0.01779,23.8141000000
6,-2.37472,-2.57365,1.14885,0.109868,-0.01920,24.2006000000
6,1.08316,-3.24635,-3.36987,-0.279580,-0.38952,163.5152500000
6,-0.37766,-3.86132,2.76442,-0.280043,-0.38944,163.5152500000
6,3.45865,-2.91747,-2.43001,-0.383509,-0.41765,154.7572000000
6,-2.79045,-3.83462,1.86427,-0.384026,-0.41764,154.6084000000
6,2.60031,-3.18897,-3.68636,-0.240015,-0.39224,163.7024500000
6,-1.87275,-4.13669,3.07068,-0.239399,-0.39215,163.7024500000
6,1.56341,-0.0108,0.06143,0.204530,0.29677,20.2530000000
6,-1.50753,-0.28045,-0.13342,0.207928,0.30298,18.7747000000
6,2.90802,0.19287,-0.25933,0.084005,-0.08792,32.4221000000
6,-2.85925,-0.38084,0.20646,0.114080,-0.09341,33.7669000000
6,3.5227,-0.77905,-1.05772,-0.224231,-0.16555,34.7293000000
6,-3.27095,-1.55819,0.8416,-0.233493,-0.16659,34.9977000000
6,3.66696,1.38804,0.19084,0.069746,-0.03401,22.9315000000
6,-3.83399,0.70831,-0.05953,0.022171,-0.03301,21.5307000000
6,3.61205,1.83864,1.51181,-0.223277,-0.13610,28.7980000000
6,-3.9019,1.34879,-1.30501,-0.191343,-0.13827,28.9112000000
6,4.48714,2.0755,-0.71484,-0.193590,-0.14537,32.9154000000
6,-4.73897,1.09243,0.93379,-0.252573,-0.15101,31.4034000000
6,4.35701,2.94666,1.91518,-0.012278,-0.14393,29.7689000000
6,-4.85275,2.33553,-1.54203,-0.005658,-0.14328,30.0131000000
6,5.23104,3.17532,-0.30607,-0.028306,-0.14282,30.6798000000
6,-5.69232,2.08073,0.68933,-0.028948,-0.14577,30.2724000000
6,5.17044,3.62158,1.0139,-0.176202,-0.15220,42.9666000000
6,-5.75736,2.70871,-0.54843,-0.161582,-0.15845,44.3909000000
6,6.12487,3.90454,-1.2738,0.506377,0.97821,50.1770000000
6,-6.65796,2.43892,1.7874,0.509280,0.97805,49.5837000000
6,4.23533,3.41691,3.34023,0.509813,0.97840,50.1770000000
6,-4.87424,3.04768,-2.86964,0.507405,0.97776,51.0163000000
1,-0.29609,-3.2006,-1.69456,0.183108,0.22779,29.4651500000
1,1.1338,-4.17424,-1.4111,0.181726,0.21073,29.4651500000
1,-0.29471,-4.46888,0.68493,0.182577,0.21118,29.4651500000
1,0.93755,-3.30469,1.13007,0.184262,0.22855,29.4651500000
1,0.57806,-2.38796,-3.82121,0.159911,0.20798,30.7451500000
1,0.63085,-4.13665,-3.81546,0.146980,0.21210,30.0845500000
1,0.24021,-4.7097,3.07138,0.147569,0.21245,30.0845500000
1,-0.0317,-3.00392,3.34833,0.158851,0.20736,30.7451500000
1,3.56828,-3.85313,-1.86621,0.172701,0.21162,29.2230000000
1,4.46942,-2.61666,-2.7169,0.147076,0.22014,28.9882500000
1,-2.73844,-4.67518,1.15996,0.173249,0.21199,29.2230000000
1,-3.83348,-3.77269,2.18489,0.146867,0.21983,28.9882500000
1,2.93427,-4.12433,-4.14413,0.140576,0.20919,29.8622500000
1,2.79164,-2.40328,-4.422,0.149329,0.20889,30.2948000000
1,-2.19146,-3.52597,3.9196,0.147950,0.20813,30.2948000000
1,-2.0193,-5.17794,3.37117,0.140974,0.20937,29.8622500000
1,4.57248,-0.66332,-1.30903,0.175729,0.21705,23.7731000000
1,-4.31925,-1.67702,1.09795,0.176854,0.21681,23.7731000000
1,2.99001,1.32331,2.23192,0.189214,0.24053,22.8286000000
1,-3.21506,1.06895,-2.09212,0.197542,0.24662,22.6715000000
1,4.52302,1.76302,-1.75051,0.210148,0.23969,23.0720000000
1,-4.68624,0.63227,1.91372,0.202170,0.23573,23.1767000000
1,-1.22604,3.33294,1.34239,0.370120,0.52547,28.8271000000
1,5.74574,4.48192,1.33101,0.184975,0.24779,23.3332000000
1,-6.4989,3.47281,-0.73908,0.194218,0.25130,23.3332000000
15,-0.06428,0.71218,-0.0009,0.991135,2.60782,286.7318000000
8,1.02341,-0.37468,0.53293,-0.356065,-0.79254,155.7056000000
8,-1.17168,-0.22191,-0.72863,-0.348963,-0.78469,158.3766000000
8,-0.66088,1.21096,1.39283,-0.469135,-0.98787,231.1322000000
8,0.38356,1.79248,-0.88084,-0.535975,-1.08531,179.3211000000
6,4.38169,3.45473,-0.41564,-0.073446,-0.06573,145.0077000000
6,-6.30736,1.73423,2.49866,-0.096630,-0.06504,149.1276000000
6,7.17664,-0.40247,1.56404,-0.089815,-0.06457,146.0814000000
6,-5.00748,2.2243,-2.47117,-0.093221,-0.06640,143.0536000000
6,4.59284,1.95981,-0.10843,0.102700,0.01694,9.4314000000
6,-5.51032,1.28744,1.25827,0.120570,0.00778,8.4655000000
6,5.93157,0.12536,0.82562,0.128919,0.00471,10.5651000000
6,-4.88826,1.52381,-1.10445,0.134742,0.01411,8.0664000000
6,3.79921,-0.33545,-0.26554,0.063967,-0.04453,25.3410000000
6,-3.86301,-0.21362,0.26263,0.059052,-0.04893,26.8757000000
6,5.72963,1.48391,0.55757,-0.114270,-0.22835,45.6800000000
6,-5.6272,1.92251,0.01658,-0.107055,-0.22353,43.7354000000
6,0.58447,-2.40422,-0.65192,-0.034233,-0.07052,41.0030000000
6,-0.76433,-2.46431,-0.01457,-0.028359,-0.06335,40.2524000000
6,2.82254,-1.35594,-0.74521,-0.071103,-0.06255,24.8770000000
6,-2.95429,-1.38277,0.40836,-0.008469,-0.07265,29.2203000000
6,3.62707,1.0297,-0.50812,-0.317558,-0.20503,33.8501000000
6,-4.61939,0.21542,1.35835,-0.333664,-0.20769,39.2071000000
6,4.94987,-0.77267,0.39767,-0.332249,-0.21051,35.5444000000
6,-4.00655,0.45063,-0.95913,-0.290013,-0.19083,34.4375000000
6,1.4651,-1.38816,-0.32507,0.219715,0.30508,18.2512000000
6,-1.62281,-1.38315,-0.09771,0.097019,0.29179,19.3897000000
6,5.55596,4.32648,0.06332,-0.518591,-0.60043,153.9360000000
6,4.2339,3.64911,-1.94213,-0.431653,-0.59134,149.9067000000
6,3.0958,3.94903,0.28548,-0.435753,-0.59956,151.0366000000
6,-5.32639,2.16611,3.61226,-0.417846,-0.59060,149.6952000000
6,-7.24234,2.92036,2.2021,-0.517590,-0.60080,155.1241000000
6,-7.17395,0.56018,3.00765,-0.417462,-0.59034,151.2157000000
6,8.15685,0.72026,1.9475,-0.516922,-0.60049,155.8500000000
6,7.9297,-1.40281,0.65807,-0.419257,-0.59044,150.2191000000
6,6.74021,-1.11901,2.86222,-0.419064,-0.59050,149.5262000000
6,-6.02449,3.37936,-2.45534,-0.518146,-0.60088,154.5095000000
6,-5.46448,1.20181,-3.53635,-0.421364,-0.59023,152.0057000000
6,-3.63062,2.80169,-2.87117,-0.415389,-0.59147,151.0366000000
6,1.00635,-3.38733,-1.6089,-0.019810,-0.03632,29.8235000000
6,-1.1925,-3.61463,0.7326,-0.017353,-0.03734,29.0538000000
6,3.23837,-2.36207,-1.59075,-0.230944,-0.14547,31.6813000000
6,-3.37392,-2.52646,1.05522,-0.234870,-0.14933,30.0077000000
6,2.35922,-3.36158,-2.07014,0.156303,-0.06633,32.9386000000
6,-2.52339,-3.63853,1.25713,0.143396,-0.06714,32.5910000000
6,0.12998,-4.3623,-2.15548,-0.216900,-0.19248,36.3797000000
6,-0.34215,-4.71613,1.01802,-0.212510,-0.19070,35.4066000000
6,2.79101,-4.33006,-3.01445,-0.200090,-0.17413,35.7568000000
6,-2.96447,-4.77456,1.9865,-0.205111,-0.17671,33.7476000000
6,0.57562,-5.27608,-3.08042,-0.127925,-0.20050,36.8332000000
6,-0.7942,-5.79178,1.7446,-0.129500,-0.19971,39.7041000000
6,1.92211,-5.27059,-3.50795,-0.144526,-0.21174,38.7554000000
6,-2.12235,-5.8314,2.22396,-0.144271,-0.21006,38.3716000000
1,6.4798,2.19254,0.87586,0.199916,0.21372,23.7978200000
1,-6.30737,2.75544,-0.07977,0.201862,0.21513,23.7978200000
1,2.73838,1.3646,-1.02779,0.260341,0.23715,22.3459000000
1,-4.48502,-0.28879,2.30926,0.207449,0.20593,23.4649000000
1,5.06136,-1.83447,0.59011,0.196412,0.20747,23.7978200000
1,-3.41867,0.11713,-1.80407,0.199753,0.21741,22.9519500000
1,6.4996,4.04896,-0.41537,0.162247,0.20503,30.4651666667
1,5.36083,5.37307,-0.18526,0.157447,0.21002,30.8566375000
1,5.69428,4.27209,1.14691,0.161116,0.20549,30.4651666667
1,5.12559,3.30152,-2.47217,0.149152,0.20546,30.8566375000
1,3.37377,3.1072,-2.3395,0.165920,0.21449,30.1936857143
1,4.09256,4.70839,-2.1787,0.144383,0.20350,30.8566375000
1,3.16765,3.81851,1.36949,0.145807,0.20446,30.8566375000
1,2.20853,3.41701,-0.06057,0.181626,0.23312,29.3490000000
1,2.9428,5.01495,0.08677,0.142872,0.20145,30.8566375000
1,-5.87498,2.49988,4.49858,0.148659,0.20460,30.8566375000
1,-4.67109,1.34758,3.91962,0.139453,0.20312,30.3600250000
1,-4.69104,2.99046,3.2778,0.162840,0.21331,30.8566375000
1,-7.98522,2.67742,1.43741,0.165997,0.20823,30.1936857143
1,-7.78769,3.19635,3.10875,0.158715,0.21009,30.8566375000
1,-6.69133,3.80526,1.87263,0.167705,0.20938,30.1936857143
1,-6.56765,-0.30275,3.29311,0.138963,0.20289,30.1936857143
1,-7.75121,0.86254,3.887,0.149795,0.20502,30.6353000000
1,-7.8788,0.23009,2.23946,0.157635,0.21047,30.6353000000
1,9.0219,0.29464,2.46339,0.157531,0.20904,30.8566375000
1,8.53201,1.25527,1.07085,0.165958,0.20836,30.1936857143
1,7.70218,1.45006,2.62267,0.165744,0.20850,30.3600250000
1,8.81607,-1.79178,1.16915,0.147695,0.20368,30.8566375000
1,7.30593,-2.25701,0.38512,0.141778,0.20401,30.1936857143
1,8.25802,-0.92286,-0.26803,0.156910,0.21008,30.6353000000
1,6.20838,-0.43398,3.52817,0.156778,0.21068,30.8566375000
1,7.6123,-1.5042,3.40017,0.146736,0.20318,30.8566375000
1,6.07739,-1.96367,2.6606,0.145305,0.20533,30.4651666667
1,-7.03349,3.03722,-2.20793,0.162956,0.20595,30.3600250000
1,-5.74621,4.16321,-1.74558,0.165270,0.20809,30.1936857143
1,-6.07179,3.84139,-3.44513,0.159438,0.21102,30.8566375000
1,-4.75727,0.37605,-3.64158,0.147823,0.20669,30.3600250000
1,-6.4384,0.77472,-3.28069,0.153317,0.20806,30.8566375000
1,-5.55452,1.68472,-4.5143,0.148583,0.20501,30.8566375000
1,-3.69312,3.29638,-3.84555,0.146323,0.20346,30.8566375000
1,-3.28531,3.53786,-2.14059,0.159203,0.21369,30.6353000000
1,-2.86237,2.02899,-2.94012,0.158935,0.21362,30.0101000000
1,4.26795,-2.36417,-1.93398,0.169486,0.21945,22.9519500000
1,-4.39282,-2.57822,1.4252,0.180743,0.21796,22.9519500000
1,-0.90801,-4.37486,-1.84846,0.189362,0.22333,23.7978200000
1,0.68059,-4.70269,0.66516,0.192609,0.22624,23.7978200000
1,3.82321,-4.30374,-3.35068,0.141048,0.21419,22.9519500000
1,-3.98224,-4.78578,2.36503,0.141133,0.21388,23.1356000000
1,-0.11565,-6.0046,-3.49158,0.148063,0.21699,23.5844500000
1,-0.12216,-6.61734,1.95512,0.149302,0.21776,23.9271000000
1,2.26128,-6.0013,-4.23493,0.145395,0.21692,23.2405000000
1,-2.46828,-6.69114,2.78841,0.146496,0.21751,23.5844500000
1,-0.73017,0.54482,2.0877,0.359567,0.51785,28.6109000000
15,-0.08857,-1.81502,-0.09177,0.912961,2.60162,281.8714000000
8,-1.03354,-0.82504,0.75877,-0.340024,-0.77861,160.5007000000
8,0.91137,-0.80394,-0.86138,-0.345383,-0.78437,154.1162000000
8,0.72681,-2.448,1.1366,-0.476419,-0.99073,221.5860000000
8,-0.68087,-2.79056,-1.01762,-0.543413,-1.10072,173.9214000000
8,-3.98846,0.10791,2.47274,-0.279697,-0.47073,225.1518000000
8,3.17471,-0.33659,-2.61213,-0.279904,-0.47130,218.4648000000
8,-3.56298,-1.64973,-1.83184,-0.277377,-0.47405,217.2924000000
8,4.23414,-1.56071,1.78093,-0.269313,-0.47341,225.2637000000
6,-0.71638,1.37354,-0.14849,-0.050840,-0.06987,41.0163000000
6,0.72487,1.31831,0.23043,-0.044980,-0.07279,41.4763000000
6,-1.55994,0.32193,0.15477,0.260789,0.31049,17.3419000000
6,1.50723,0.25197,-0.16812,0.277586,0.31997,16.8121000000
6,-1.27121,2.49343,-0.85699,-0.009745,-0.03400,29.0283000000
6,1.33437,2.33445,1.04278,-0.027087,-0.03152,29.8318000000
6,-2.96018,0.34521,-0.06433,0.034787,-0.03942,32.7452000000
6,2.90485,0.16549,0.06787,0.086856,-0.05585,36.2731000000
6,-2.68127,2.5356,-1.09437,0.138244,-0.06585,33.0265000000
6,2.7403,2.26575,1.29704,0.149553,-0.06913,31.8279000000
6,-3.49413,1.46005,-0.66079,-0.136429,-0.13398,30.8076000000
6,3.49248,1.18605,0.77621,-0.171453,-0.12805,28.8482000000
6,-3.80438,-0.81671,0.33451,-0.227698,-0.15271,48.8133000000
6,3.69017,-0.99609,-0.43101,-0.243668,-0.15101,49.7239000000
6,-0.47423,3.54758,-1.37834,-0.220299,-0.19186,35.2080000000
6,0.59651,3.38414,1.6526,-0.217116,-0.19098,34.9031000000
6,-3.23716,3.6436,-1.78618,-0.200201,-0.17530,36.0615000000
6,3.35434,3.27054,2.09019,-0.202255,-0.17535,35.3208000000
6,-1.04222,4.59775,-2.05948,-0.131712,-0.20472,38.6168000000
6,1.21889,4.33093,2.43107,-0.130611,-0.20341,39.3504000000
6,-2.43969,4.65705,-2.25607,-0.146296,-0.21615,39.6684000000
6,2.61465,4.28584,2.64294,-0.146456,-0.21637,41.3984000000
6,-4.30441,-0.92475,1.64054,0.357875,0.33473,4.9480500000
6,3.78476,-1.248,-1.81174,0.358600,0.34737,4.9480500000
6,-4.07113,-1.8404,-0.58699,0.289999,0.34766,3.5343000000
6,4.34891,-1.86558,0.45771,0.274093,0.33556,6.1534000000
6,-5.06423,-2.03516,2.02361,-0.291898,-0.33536,69.8653000000
6,4.48598,-2.35889,-2.29377,-0.273236,-0.32841,66.8361000000
6,-4.82127,-2.9606,-0.20797,-0.256324,-0.32518,66.6397000000
6,5.05675,-2.97555,-0.01938,-0.285284,-0.33949,67.1582000000
6,-5.30794,-3.03911,1.09108,-0.139720,-0.16394,34.3900000000
6,5.11151,-3.20821,-1.38935,-0.144948,-0.16315,36.1435000000
6,-4.38537,0.03393,3.83168,-0.321609,-0.24851,130.1804000000
6,3.00877,-0.63278,-3.99026,-0.314282,-0.24842,129.3389000000
6,-3.49005,-2.76031,-2.71696,-0.319618,-0.24907,128.4769000000
6,4.83295,-2.41719,2.73841,-0.317533,-0.24798,129.7543000000
1,-4.56411,1.50435,-0.83643,0.144556,0.21685,23.1548000000
1,4.55873,1.15011,0.97132,0.147377,0.21638,23.0379000000
1,0.59958,3.5131,-1.24674,0.191704,0.22444,23.7616000000
1,-0.47559,3.42934,1.5114,0.192095,0.22552,23.7616000000
1,-4.31053,3.66685,-1.95027,0.137828,0.21231,23.0379000000
1,4.42495,3.21205,2.26356,0.136682,0.21152,23.0379000000
1,-0.40942,5.38598,-2.45488,0.144574,0.21481,23.7616000000
1,0.63025,5.11801,2.89157,0.144842,0.21499,23.7616000000
1,-2.87628,5.49519,-2.78974,0.141370,0.21448,23.3930000000
1,3.09457,5.04444,3.25293,0.141414,0.21452,23.5531000000
1,-5.45582,-2.12703,3.02795,0.155837,0.21861,24.8672000000
1,4.5543,-2.55665,-3.35513,0.157914,0.22153,24.5242000000
1,-5.02119,-3.75919,-0.91003,0.152271,0.22105,24.7096000000
1,5.5603,-3.65047,0.65978,0.158817,0.21989,24.5896000000
1,1.03796,-3.34193,0.95215,0.357772,0.51672,29.3095000000
1,-5.89159,-3.9053,1.38706,0.140409,0.21262,23.7616000000
1,5.65962,-4.06872,-1.75981,0.144671,0.21479,23.7616000000
1,-3.95849,-0.84421,4.32748,0.154155,0.17406,28.5142500000
1,-3.99764,0.93614,4.30144,0.153757,0.19641,28.3269500000
1,-5.47606,0.01479,3.9335,0.148493,0.16989,28.3269500000
1,3.97029,-0.66642,-4.51397,0.145570,0.16852,28.3269500000
1,2.47843,-1.57949,-4.1309,0.163884,0.18001,28.3269500000
1,2.40922,0.18025,-4.39485,0.157120,0.19980,28.1992000000
1,-2.92572,-3.57757,-2.26378,0.184183,0.19552,28.3269500000
1,-4.48739,-3.0995,-3.01802,0.137420,0.16140,28.3269500000
1,-2.95498,-2.3992,-3.59299,0.150107,0.19668,28.3269500000
1,5.92055,-2.46254,2.61623,0.151025,0.17146,28.3269500000
1,4.42055,-3.43079,2.68766,0.146825,0.17024,28.5142500000
1,4.59698,-1.98333,3.70825,0.158814,0.19933,28.0876000000
15,-0.07044,0.04706,1.13595,0.949200,2.59620,289.5646000000
8,0.9634,-1.19033,0.87454,-0.376512,-0.79584,155.6485000000
8,-1.17439,-0.19174,-0.0357,-0.324403,-0.78306,154.2146000000
8,-0.71089,-0.43289,2.51792,-0.465131,-0.98730,231.5909000000
8,0.4374,1.41488,1.13773,-0.501671,-1.05927,186.3626000000
6,0.58805,-1.93275,-1.36307,-0.056425,-0.06926,40.3917666667
6,-0.77946,-2.36828,-0.95464,0.013894,-0.06679,41.6664000000
6,2.79139,-1.0323,-0.68929,-0.122345,-0.07047,29.3310000000
6,-2.97876,-1.77678,0.01089,-0.094265,-0.07976,27.1637000000
6,1.44211,-1.38628,-0.42285,0.288735,0.30295,17.6233000000
6,-1.63018,-1.47414,-0.32672,0.021449,0.29597,18.2462000000
6,3.69868,-0.55188,0.39161,0.103338,-0.02742,30.4468000000
6,-3.87991,-0.7753,0.65093,0.084224,-0.03136,29.4607500000
6,5.24756,1.08319,1.3612,0.082732,-0.01103,39.1700000000
6,-5.18352,1.30112,0.65444,0.055897,-0.00967,38.1995000000
6,4.30666,0.72382,0.34526,0.029896,-0.03020,32.0130500000
6,-4.29603,0.40216,-0.01355,0.097941,-0.03014,33.9845000000
6,1.04546,-2.02807,-2.71996,0.004565,-0.03484,29.9259000000
6,-1.23546,-3.71598,-1.1512,-0.004809,-0.03670,29.1464000000
6,5.89032,2.35678,1.32695,0.020907,-0.01534,39.4698000000
6,-5.62324,2.49224,0.00268,0.023914,-0.01598,41.9011000000
6,2.39705,-1.66457,-3.01787,0.165315,-0.06782,32.0897000000
6,-2.58053,-4.05032,-0.79585,0.131292,-0.06823,30.9910000000
6,5.54946,0.17262,2.41558,0.075524,-0.05250,32.8417000000
6,-5.64222,1.01257,1.97419,0.077771,-0.05055,32.0130500000
6,3.24119,-1.20097,-1.98046,-0.254476,-0.14317,29.4607500000
6,-3.42333,-3.0557,-0.24399,-0.170081,-0.14905,31.5603000000
6,5.58397,3.28672,0.29116,0.084324,-0.05594,32.1437000000
6,-5.18644,2.78726,-1.32135,0.079010,-0.05645,32.2841000000
6,3.99419,-1.41571,1.45212,-0.181523,-0.18200,35.4536000000
6,-4.35977,-1.04148,1.93759,-0.201217,-0.19207,36.1498333333
6,6.83999,2.70969,2.33243,0.084907,-0.05675,31.5603000000
6,-6.50387,3.39398,0.67178,0.084507,-0.05655,31.8561000000
6,3.99988,1.70025,-0.66499,-0.247122,-0.18312,35.0967000000
6,-3.88813,0.72572,-1.35257,-0.221313,-0.18074,38.7611000000
6,4.89888,-1.06771,2.44286,-0.164874,-0.18192,41.9011000000
6,-5.21766,-0.16912,2.59235,-0.173562,-0.18252,38.1103000000
6,4.60796,2.91408,-0.69049,-0.184950,-0.17069,36.0358000000
6,-4.30994,1.85836,-1.97173,-0.191854,-0.16690,36.4023000000
6,0.20564,-2.42192,-3.79581,-0.223855,-0.19402,35.0967000000
6,-0.39605,-4.75353,-1.63909,-0.218410,-0.19240,33.5362000000
6,6.50558,0.55578,3.41462,-0.200290,-0.18108,35.6843000000
6,-6.52592,1.93913,2.62281,-0.199469,-0.18125,36.1498333333
6,7.12381,1.76413,3.37381,-0.192135,-0.17548,39.7047000000
6,-6.93573,3.07539,2.00309,-0.189877,-0.17318,36.1498333333
6,2.86467,-1.76134,-4.3552,-0.197315,-0.17371,35.3600000000
6,-3.04357,-5.3783,-0.99117,-0.200674,-0.17562,35.6216000000
6,6.22864,4.53151,0.27588,-0.185945,-0.18276,38.9982000000
6,-5.62905,3.96412,-1.94235,-0.183183,-0.18046,40.3917666667
