Reaction_No,Reactant_1_Name,Reactant_2_Name,Catalyst_1_Short_Hand,Ligand_Short_Hand,Reagent_1_Short_Hand,Solvent_1_Short_Hand,Product_Yield_PCT_Area_UV,,
29,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(o-Tol)3,CsF,MeCN,2.10,,
30,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,CataCXium A,CsF,MeCN,3.32,,
31,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,SPhos,CsF,MeCN,68.44,,
32,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dtbpf,CsF,MeCN,5.84,,
33,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,XPhos,CsF,MeCN,73.02,,
34,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dppf,CsF,MeCN,13.20,,
35,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,Xantphos,CsF,MeCN,2.10,,
36,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,None,CsF,MeCN,10.22,,
37,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(tBu)3,K3PO4,MeCN,3.00,,
38,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Ph)3 ,K3PO4,MeCN,4.73,,
39,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,AmPhos,K3PO4,MeCN,2.58,,
40,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Cy)3,K3PO4,MeCN,5.83,,
41,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(o-Tol)3,K3PO4,MeCN,1.88,,
42,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,CataCXium A,K3PO4,MeCN,3.69,,
43,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,SPhos,K3PO4,MeCN,53.34,,
44,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dtbpf,K3PO4,MeCN,5.80,,
45,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,XPhos,K3PO4,MeCN,60.67,,
46,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dppf,K3PO4,MeCN,14.39,,
47,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,Xantphos,K3PO4,MeCN,2.27,,
48,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,None,K3PO4,MeCN,10.00,,
49,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(tBu)3,KOH,MeCN,5.60,,
50,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Ph)3 ,KOH,MeCN,4.82,,
51,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,AmPhos,KOH,MeCN,2.49,,
52,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Cy)3,KOH,MeCN,6.46,,
53,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(o-Tol)3,KOH,MeCN,2.06,,
54,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,CataCXium A,KOH,MeCN,3.22,,
55,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,SPhos,KOH,MeCN,78.42,,
56,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dtbpf,KOH,MeCN,8.94,,
57,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,XPhos,KOH,MeCN,92.22,,
58,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dppf,KOH,MeCN,14.22,,
59,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,Xantphos,KOH,MeCN,2.35,,
60,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,None,KOH,MeCN,18.16,,
61,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(tBu)3,LiOtBu,MeCN,7.08,,
62,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Ph)3 ,LiOtBu,MeCN,5.45,,
63,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,AmPhos,LiOtBu,MeCN,1.99,,
64,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Cy)3,LiOtBu,MeCN,6.08,,
65,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(o-Tol)3,LiOtBu,MeCN,2.45,,
66,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,CataCXium A,LiOtBu,MeCN,3.57,,
67,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,SPhos,LiOtBu,MeCN,85.77,,
68,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dtbpf,LiOtBu,MeCN,9.78,,
69,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,XPhos,LiOtBu,MeCN,92.83,,
70,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dppf,LiOtBu,MeCN,15.41,,
71,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,Xantphos,LiOtBu,MeCN,2.43,,
72,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,None,LiOtBu,MeCN,17.18,,
73,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(tBu)3,Et3N,MeCN,7.82,,
74,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Ph)3 ,Et3N,MeCN,6.14,,
75,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,AmPhos,Et3N,MeCN,2.13,,
76,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Cy)3,Et3N,MeCN,5.05,,
77,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(o-Tol)3,Et3N,MeCN,1.98,,
78,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,CataCXium A,Et3N,MeCN,4.47,,
79,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,SPhos,Et3N,MeCN,78.96,,
80,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dtbpf,Et3N,MeCN,7.00,,
81,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,XPhos,Et3N,MeCN,90.30,,
82,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dppf,Et3N,MeCN,15.36,,
83,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,Xantphos,Et3N,MeCN,2.51,,
84,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,None,Et3N,MeCN,19.51,,
85,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(tBu)3,None,MeCN,9.76,,
86,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Ph)3 ,None,MeCN,4.15,,
87,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,AmPhos,None,MeCN,1.53,,
88,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Cy)3,None,MeCN,5.80,,
89,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(o-Tol)3,None,MeCN,2.65,,
90,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,CataCXium A,None,MeCN,4.43,,
91,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,SPhos,None,MeCN,66.80,,
92,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dtbpf,None,MeCN,6.42,,
93,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,XPhos,None,MeCN,78.23,,
94,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dppf,None,MeCN,13.95,,
95,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,Xantphos,None,MeCN,2.11,,
96,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,None,None,MeCN,8.29,,
97,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(tBu)3,NaOH,THF,33.79,,
98,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Ph)3 ,NaOH,THF,8.08,,
99,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,AmPhos,NaOH,THF,61.20,,
100,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Cy)3,NaOH,THF,69.94,,
101,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(o-Tol)3,NaOH,THF,7.20,,
102,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,CataCXium A,NaOH,THF,79.47,,
103,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,SPhos,NaOH,THF,87.06,,
104,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dtbpf,NaOH,THF,12.70,,
105,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,XPhos,NaOH,THF,88.97,,
106,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dppf,NaOH,THF,27.93,,
107,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,Xantphos,NaOH,THF,6.11,,
108,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,None,NaOH,THF,20.00,,
109,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(tBu)3,NaHCO3,THF,66.74,,
110,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Ph)3 ,NaHCO3,THF,8.11,,
111,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,AmPhos,NaHCO3,THF,57.48,,
112,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Cy)3,NaHCO3,THF,61.89,,
113,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(o-Tol)3,NaHCO3,THF,2.23,,
114,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,CataCXium A,NaHCO3,THF,70.45,,
115,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,SPhos,NaHCO3,THF,79.85,,
116,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dtbpf,NaHCO3,THF,9.60,,
117,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,XPhos,NaHCO3,THF,80.77,,
118,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dppf,NaHCO3,THF,19.24,,
119,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,Xantphos,NaHCO3,THF,5.20,,
120,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,None,NaHCO3,THF,8.33,,
121,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(tBu)3,CsF,THF,39.17,,
122,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Ph)3 ,CsF,THF,7.24,,
123,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,AmPhos,CsF,THF,44.98,,
124,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Cy)3,CsF,THF,50.95,,
125,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(o-Tol)3,CsF,THF,2.23,,
126,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,CataCXium A,CsF,THF,61.29,,
127,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,SPhos,CsF,THF,60.83,,
128,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dtbpf,CsF,THF,9.94,,
129,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,XPhos,CsF,THF,53.52,,
130,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dppf,CsF,THF,18.18,,
131,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,Xantphos,CsF,THF,3.68,,
132,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,None,CsF,THF,8.42,,
133,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(tBu)3,K3PO4,THF,41.23,,
134,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Ph)3 ,K3PO4,THF,6.66,,
135,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,AmPhos,K3PO4,THF,33.02,,
136,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Cy)3,K3PO4,THF,50.06,,
137,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(o-Tol)3,K3PO4,THF,2.68,,
138,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,CataCXium A,K3PO4,THF,55.85,,
139,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,SPhos,K3PO4,THF,47.94,,
140,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dtbpf,K3PO4,THF,9.37,,
141,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,XPhos,K3PO4,THF,52.33,,
142,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dppf,K3PO4,THF,20.18,,
143,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,Xantphos,K3PO4,THF,4.25,,
144,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,None,K3PO4,THF,7.98,,
145,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(tBu)3,KOH,THF,48.56,,
146,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Ph)3 ,KOH,THF,7.77,,
147,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,AmPhos,KOH,THF,42.73,,
148,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Cy)3,KOH,THF,55.08,,
149,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(o-Tol)3,KOH,THF,3.03,,
150,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,CataCXium A,KOH,THF,62.33,,
151,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,SPhos,KOH,THF,73.31,,
152,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dtbpf,KOH,THF,12.30,,
153,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,XPhos,KOH,THF,72.00,,
154,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dppf,KOH,THF,26.14,,
155,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,Xantphos,KOH,THF,4.54,,
156,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,None,KOH,THF,17.83,,
157,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(tBu)3,LiOtBu,THF,66.16,,
158,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Ph)3 ,LiOtBu,THF,9.92,,
159,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,AmPhos,LiOtBu,THF,58.51,,
160,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Cy)3,LiOtBu,THF,78.15,,
161,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(o-Tol)3,LiOtBu,THF,5.12,,
162,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,CataCXium A,LiOtBu,THF,62.02,,
163,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,SPhos,LiOtBu,THF,85.95,,
164,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dtbpf,LiOtBu,THF,13.91,,
165,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,XPhos,LiOtBu,THF,85.21,,
166,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dppf,LiOtBu,THF,26.83,,
167,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,Xantphos,LiOtBu,THF,0.00,,
168,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,None,LiOtBu,THF,35.37,,
169,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(tBu)3,Et3N,THF,68.72,,
170,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Ph)3 ,Et3N,THF,10.16,,
171,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,AmPhos,Et3N,THF,48.80,,
172,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Cy)3,Et3N,THF,82.65,,
173,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(o-Tol)3,Et3N,THF,5.97,,
174,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,CataCXium A,Et3N,THF,80.74,,
175,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,SPhos,Et3N,THF,87.82,,
176,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dtbpf,Et3N,THF,13.56,,
177,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,XPhos,Et3N,THF,88.93,,
178,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dppf,Et3N,THF,21.65,,
179,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,Xantphos,Et3N,THF,3.64,,
180,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,None,Et3N,THF,14.67,,
181,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(tBu)3,None,THF,67.57,,
182,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Ph)3 ,None,THF,9.44,,
183,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,AmPhos,None,THF,64.56,,
184,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Cy)3,None,THF,73.97,,
185,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(o-Tol)3,None,THF,4.81,,
186,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,CataCXium A,None,THF,83.62,,
187,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,SPhos,None,THF,89.17,,
188,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dtbpf,None,THF,10.97,,
189,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,XPhos,None,THF,91.35,,
190,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dppf,None,THF,21.87,,
191,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,Xantphos,None,THF,4.57,,
192,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,None,None,THF,11.53,,
193,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(tBu)3,NaOH,DMF,17.33,,
194,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Ph)3 ,NaOH,DMF,6.27,,
195,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,AmPhos,NaOH,DMF,5.34,,
196,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Cy)3,NaOH,DMF,12.74,,
197,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(o-Tol)3,NaOH,DMF,5.37,,
198,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,CataCXium A,NaOH,DMF,8.60,,
199,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,SPhos,NaOH,DMF,77.85,,
200,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dtbpf,NaOH,DMF,10.03,,
201,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,XPhos,NaOH,DMF,88.28,,
202,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dppf,NaOH,DMF,13.87,,
203,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,Xantphos,NaOH,DMF,4.80,,
204,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,None,NaOH,DMF,8.31,,
205,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(tBu)3,NaHCO3,DMF,3.50,,
206,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Ph)3 ,NaHCO3,DMF,6.84,,
207,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,AmPhos,NaHCO3,DMF,2.54,,
208,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Cy)3,NaHCO3,DMF,10.59,,
209,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(o-Tol)3,NaHCO3,DMF,1.19,,
210,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,CataCXium A,NaHCO3,DMF,7.85,,
211,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,SPhos,NaHCO3,DMF,42.13,,
212,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dtbpf,NaHCO3,DMF,6.81,,
213,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,XPhos,NaHCO3,DMF,37.01,,
214,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dppf,NaHCO3,DMF,16.24,,
215,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,Xantphos,NaHCO3,DMF,0.00,,
216,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,None,NaHCO3,DMF,5.30,,
217,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(tBu)3,CsF,DMF,1.22,,
218,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Ph)3 ,CsF,DMF,6.24,,
219,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,AmPhos,CsF,DMF,4.25,,
220,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Cy)3,CsF,DMF,42.54,,
221,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(o-Tol)3,CsF,DMF,1.05,,
222,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,CataCXium A,CsF,DMF,12.89,,
223,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,SPhos,CsF,DMF,63.88,,
224,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dtbpf,CsF,DMF,8.67,,
225,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,XPhos,CsF,DMF,60.88,,
226,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dppf,CsF,DMF,8.67,,
227,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,Xantphos,CsF,DMF,5.15,,
228,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,None,CsF,DMF,18.73,,
229,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(tBu)3,K3PO4,DMF,3.69,,
230,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Ph)3 ,K3PO4,DMF,5.30,,
231,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,AmPhos,K3PO4,DMF,5.08,,
232,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Cy)3,K3PO4,DMF,6.97,,
233,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(o-Tol)3,K3PO4,DMF,0.99,,
234,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,CataCXium A,K3PO4,DMF,11.91,,
235,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,SPhos,K3PO4,DMF,39.83,,
236,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dtbpf,K3PO4,DMF,7.58,,
237,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,XPhos,K3PO4,DMF,39.49,,
238,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dppf,K3PO4,DMF,9.03,,
239,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,Xantphos,K3PO4,DMF,0.00,,
240,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,None,K3PO4,DMF,14.08,,
241,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(tBu)3,KOH,DMF,13.55,,
242,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Ph)3 ,KOH,DMF,4.36,,
243,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,AmPhos,KOH,DMF,3.30,,
244,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Cy)3,KOH,DMF,7.47,,
245,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(o-Tol)3,KOH,DMF,3.54,,
246,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,CataCXium A,KOH,DMF,10.67,,
247,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,SPhos,KOH,DMF,62.77,,
248,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dtbpf,KOH,DMF,8.83,,
