,x
468,4
469,14
470,12
471,16
472,2
473,0
474,18
475,12
476,16
477,4
478,4
479,20
480,10
481,12
482,0
483,2
484,10
485,12
486,20
487,-2
488,0
489,16
490,14
491,16
492,2
493,4
494,10
495,12
496,8
497,2
498,-2
499,10
500,10
501,4
502,0
503,2
504,10
505,-4
506,-2
507,2
508,4
509,0
510,0
511,-4
512,12
513,-4
514,16
515,4
516,10
517,-6
518,-2
519,0
520,6
521,8
522,0
523,2
524,10
525,10
526,84
527,48
528,50
529,70
530,82
531,82
532,80
533,42
534,54
535,80
536,78
537,40
538,46
539,74
540,78
541,82
542,42
543,46
544,82
545,78
546,76
547,38
548,40
549,74
550,78
551,88
552,46
553,44
554,90
555,82
556,86
557,60
558,62
559,86
560,88
561,86
562,56
563,62
564,86
565,80
566,88
567,46
568,58
569,84
570,84
571,80
572,52
573,52
574,88
575,80
576,99
577,84
578,84
579,98
580,96
581,98
582,76
583,78
584,98
585,99
586,99
587,78
588,80
589,99
590,99
591,99
592,80
593,84
594,99
595,98
596,98
597,76
598,78
599,96
600,98
601,22
602,-10
603,0
604,10
605,10
606,20
607,-10
608,2
609,22
610,26
611,20
612,-8
613,-4
614,24
615,16
616,52
617,-6
618,12
619,28
620,24
621,34
622,-20
623,4
624,16
625,24
626,96
627,74
628,74
629,94
630,96
631,94
632,84
633,80
634,96
635,98
636,96
637,76
638,80
639,96
640,99
641,99
642,72
643,76
644,99
645,96
646,92
647,74
648,68
649,96
650,98
651,89
652,77
653,73
654,93
655,92
656,87
657,75
658,85
659,97
660,89
661,84
662,66
663,82
664,85
665,81
666,90
667,61
668,74
669,94
670,94
671,93
672,73
673,86
674,94
675,92
676,74
677,50
678,44
679,78
680,70
681,80
682,32
683,32
684,80
685,80
686,80
687,36
688,42
689,78
690,74
691,78
692,32
693,40
694,74
695,70
696,72
697,28
698,40
699,70
700,72
701,90
702,56
703,62
704,74
705,92
706,82
707,62
708,84
709,80
710,78
711,86
712,60
713,90
714,90
715,94
716,84
717,54
718,68
719,80
720,72
721,88
722,76
723,76
724,74
725,80
726,78
727,36
728,44
729,82
730,84
731,76
732,44
733,52
734,80
735,82
736,84
737,58
738,54
739,84
740,84
741,78
742,40
743,46
744,86
745,82
746,76
747,38
748,46
749,78
750,82
751,76
752,36
753,42
754,78
755,80
756,78
757,42
758,46
759,70
760,74
761,82
762,48
763,54
764,74
765,80
766,76
767,38
768,40
769,80
770,76
771,76
772,38
773,44
774,76
775,78
776,78
777,50
778,60
779,80
780,84
781,68
782,40
783,60
784,74
785,80
786,74
787,68
788,72
789,74
790,74
791,84
792,20
793,44
794,62
795,74
796,76
797,50
798,58
799,80
800,70
801,86
802,42
803,60
804,84
805,78
806,88
807,46
808,56
809,92
810,78
811,76
812,50
813,58
814,80
815,80
816,90
817,44
818,40
819,82
820,84
821,84
822,38
823,44
824,78
825,80
826,92
827,76
828,80
829,86
830,86
831,88
832,74
833,78
834,84
835,92
836,84
837,44
838,70
839,94
840,92
841,96
842,80
843,72
844,92
845,96
846,80
847,72
848,52
849,90
850,90
851,82
852,36
853,44
854,82
855,84
856,80
857,42
858,42
859,82
860,86
861,60
862,44
863,50
864,82
865,80
866,70
867,33
868,36
869,76
870,78
871,82
872,54
873,52
874,78
875,80
876,74
877,44
878,72
879,84
880,86
881,90
882,50
883,74
884,96
885,98
886,74
887,14
888,56
889,78
890,82
891,90
892,50
893,90
894,96
895,98
896,90
897,36
898,60
899,84
900,96
901,90
902,60
903,60
904,84
905,76
906,90
907,56
908,62
909,90
910,78
911,78
912,58
913,60
914,86
915,80
916,94
917,44
918,50
919,90
920,88
921,84
922,40
923,50
924,84
925,82
926,72
927,44
928,46
929,78
930,72
931,82
932,34
933,34
934,82
935,80
936,80
937,32
938,46
939,74
940,78
941,80
942,36
943,46
944,76
945,78
946,76
947,30
948,46
949,72
950,74
951,84
952,48
953,50
954,76
955,80
956,80
957,36
958,54
959,80
960,80
961,64
962,48
963,38
964,74
965,78
966,74
967,44
968,40
969,74
970,78
971,80
972,40
973,50
974,78
975,76
976,74
977,50
978,52
979,78
980,80
981,72
982,42
983,50
984,74
985,82
986,76
987,44
988,50
989,80
990,74
991,78
992,42
993,48
994,82
995,76
996,70
997,48
998,56
999,72
1000,74
1001,88
1002,79
1003,75
1004,92
1005,91
1006,88
1007,77
1008,85
1009,97
1010,90
1011,86
1012,71
1013,82
1014,86
1015,81
1016,90
1017,62
1018,75
1019,94
1020,94
1021,93
1022,72
1023,86
1024,96
1025,92
1026,75
1027,40
1028,32
1029,83
1030,81
1031,83
1032,60
1033,52
1034,72
1035,79
1036,75
1037,37
1038,18
1039,81
1040,82
1041,72
1042,25
1043,33
1044,73
1045,73
1046,80
1047,21
1048,41
1049,63
1050,68
1051,86
1052,50
1053,56
1054,68
1055,86
1056,76
1057,30
1058,40
1059,74
1060,82
1061,76
1062,38
1063,30
1064,78
1065,70
1066,80
1067,36
1068,52
1069,72
1070,70
1071,82
1072,28
1073,48
1074,74
1075,70
